Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• However, the electrician might be able to catch the wire before it falls","People in the swimming 
pool: 7","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 7 people in the swimming pool were saved.",7,65, people in the swimming pool,"Pedestrians on the 
sidewalk: 4",045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,3,3,3,,,,,,,2187.8288544998504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2189.843907299917,None,,,,,,,,,,,,,,,n,2.3642401001416147,2183.4396959999576,None,2185.827506800182,None,2183.4396959999576,None,2183.4396959999576,None,2183.4396959999576,None,2183.4396959999576,None,2183.4396959999576,None,2183.4396959999576,None,2183.4396959999576,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.","People in the swimming 
pool: 6","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 6 people in the swimming pool were saved.",6,50, people in the swimming pool,"Pedestrians on the 
sidewalk: 3",045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,4,4,4,,,,,,,2272.849607199896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2274.865952900145,None,,,,,,,,,,,,,,,n,74.97983019985259,2195.84846979985,None,2270.8482210999355,None,2195.84846979985,None,2195.84846979985,None,2195.84846979985,None,2195.84846979985,None,2195.84846979985,None,2195.84846979985,None,2195.84846979985,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• You are working on a ship when you see a large group of sharks in the distance heading towards a team of scuba divers

• You know that when the sharks reach this group they will encircle them and kill them all ",Scuba divers in team: 10,"Probability EM pulse
will function: 35%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 2 close scuba divers were saved.
 
The  ","The 2 close scuba divers died.

The 10 far scuba divers were saved.",10,35, far scuba divers,Close scuba divers: 2,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,0,0,0,,,,,,,,,,,2278.854706400074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280.8916993001476,None,space,3.6641524001024663,2280.8916993001476,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that there is another group of scuba divers who are closer to you and currently not in the path of the sharks 

• If you throw bait at this group of divers, the sharks will smell blood and switch trajectory away from the far team of divers, but killing the closer group of divers",Scuba divers in team: 5,"Probability EM pulse
will function: 65%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 2 close scuba divers were saved.
 
The  ","The 2 close scuba divers died.

The 5 far scuba divers were saved.",5,35, far scuba divers,Close scuba divers: 2,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2284.6144926999696,None,space,0.6295888000167906,2284.6144926999696,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• If you throw bait at the close divers, all of the far divers will be spared",Scuba divers in team: 7,"Probability EM pulse
will function: 50%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 5 close scuba divers were saved.
 
The  ","The 5 close scuba divers died.

The 7 far scuba divers were saved.",7,65, far scuba divers,Close scuba divers: 5,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2285.2670578002,None,space,0.5206536999903619,2285.2670578002,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the far divers are carrying an electromagnetic (EM) pulse that will deter the sharks, but given the team's current depth there is only a small chance that the pulse will function 

• In order to ensure that the group will be spared, you must throw the bait now",Scuba divers in team: 8,"Probability EM pulse
will function: 50%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 6 close scuba divers were saved.
 
The  ","The 6 close scuba divers died.

The 8 far scuba divers were saved.",8,50, far scuba divers,Close scuba divers: 6,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2285.8487860001624,None,space,0.37128329975530505,2285.8487860001624,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",Scuba divers in team: 6,"Probability EM pulse
will function: 35%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 4 close scuba divers were saved.
 
The  ","The 4 close scuba divers died.

The 6 far scuba divers were saved.",6,65, far scuba divers,Close scuba divers: 4,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2286.254619500134,None,space,0.42918650014325976,2286.254619500134,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• You are working on a ship when you see a large group of sharks in the distance heading towards a team of scuba divers

• You know that when the sharks reach this group they will encircle them and kill them all ",Scuba divers in team: 10,"Probability EM pulse
will function: 35%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 2 close scuba divers were saved.
 
The  ","The 2 close scuba divers died.

The 10 far scuba divers were saved.",10,35, far scuba divers,Close scuba divers: 2,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,0,0,0,,,,,,,2313.1833934001625,None,,,,,,,2288.7158742998727,None,,,,,,,,,,,,,,,,,,,,,2315.2006041998975,None,,,,,,,,,,,,,,,n,12.414503299631178,2298.7493898998946,None,2311.1812781002373,None,2298.7493898998946,None,2298.7493898998946,None,2298.7493898998946,None,2298.7493898998946,None,2298.7493898998946,None,2298.7493898998946,None,2298.7493898998946,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that there is another group of scuba divers who are closer to you and currently not in the path of the sharks 

• If you throw bait at this group of divers, the sharks will smell blood and switch trajectory away from the far team of divers, but killing the closer group of divers",Scuba divers in team: 5,"Probability EM pulse
will function: 65%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 2 close scuba divers were saved.
 
The  ","The 2 close scuba divers died.

The 5 far scuba divers were saved.",5,35, far scuba divers,Close scuba divers: 2,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,1,1,1,,,,,,,2335.852021300234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2337.8668360998854,None,,,,,,,,,,,,,,,n,12.62417049985379,2321.1958399000578,None,2333.850258800201,None,2321.1958399000578,None,2321.1958399000578,None,2321.1958399000578,None,2321.1958399000578,None,2321.1958399000578,None,2321.1958399000578,None,2321.1958399000578,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• If you throw bait at the close divers, all of the far divers will be spared",Scuba divers in team: 7,"Probability EM pulse
will function: 50%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 5 close scuba divers were saved.
 
The  ","The 5 close scuba divers died.

The 7 far scuba divers were saved.",7,65, far scuba divers,Close scuba divers: 5,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,2,2,2,,,,,,,2357.6034190999344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2359.6196607998572,None,,,,,,,,,,,,,,,n,11.708166900090873,2343.8715606001206,None,2355.601757099852,None,2343.8715606001206,None,2343.8715606001206,None,2343.8715606001206,None,2343.8715606001206,None,2343.8715606001206,None,2343.8715606001206,None,2343.8715606001206,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the far divers are carrying an electromagnetic (EM) pulse that will deter the sharks, but given the team's current depth there is only a small chance that the pulse will function 

• In order to ensure that the group will be spared, you must throw the bait now",Scuba divers in team: 8,"Probability EM pulse
will function: 50%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 6 close scuba divers were saved.
 
The  ","The 6 close scuba divers died.

The 8 far scuba divers were saved.",8,50, far scuba divers,Close scuba divers: 6,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,3,3,3,,,,,,,2392.8160370998085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2394.832732900046,None,,,,,,,,,,,,,,,n,25.181923600379378,2365.6140954000875,None,2390.814390399959,None,2365.6140954000875,None,2365.6140954000875,None,2365.6140954000875,None,2365.6140954000875,None,2365.6140954000875,None,2365.6140954000875,None,2365.6140954000875,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",Scuba divers in team: 6,"Probability EM pulse
will function: 35%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 4 close scuba divers were saved.
 
The  ","The 4 close scuba divers died.

The 6 far scuba divers were saved.",6,65, far scuba divers,Close scuba divers: 4,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,4,4,4,,,,,,,2411.214484000113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2413.231875800062,None,,,,,,,,,,,,,,,n,8.359947100281715,2400.8357796999626,None,2409.212955099996,None,2400.8357796999626,None,2400.8357796999626,None,2400.8357796999626,None,2400.8357796999626,None,2400.8357796999626,None,2400.8357796999626,None,2400.8357796999626,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• You are standing on a footbridge that is going over train tracks

• Below you see a car has gotten stuck on the train tracks, and a train is quickly approaching",People in the car: 10,"Probability the people in the car 
will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 10 people in the car were saved.",10,50,people in the car,Pedestrians on the bridge: 5,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,0,0,0,,,,,,,,,,,2417.2195867998526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2419.2530315001495,None,space,6.262649700045586,2419.2530315001495,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a small group of pedestrians leaning over the footbridge

• You know that if you push the pedestrians over the bridge, they will hit the oncoming train, causing it to stop before it reaches the car",People in the car: 8,"Probability the people in the car 
will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 8 people in the car were saved.",8,35,people in the car,Pedestrians on the bridge: 2,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425.576021300163,None,space,0.2758447998203337,2425.576021300163,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is some chance the people in the car will be able to escape before the train comes

• If you push the pedestrians, they will certainly fall to their deaths",People in the car: 4,"Probability the people in the car 
will be able to escape in time: 65%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 4 people in the car were saved.",4,65,people in the car,Pedestrians on the bridge: 2,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425.898157999851,None,space,0.2740044998936355,2425.898157999851,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• In order to ensure the people in the car will be saved, you would have to push the pedestrians now",People in the car: 6,"Probability the people in the car 
will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 6 people in the car were saved.",6,35,people in the car,Pedestrians on the bridge: 5,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426.206250399817,None,space,0.46181200025603175,2426.206250399817,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",People in the car: 10,"Probability the people in the car 
will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 3 pedestrians lived.

The ","The 3 pedestrians died,

The 10 people in the car were saved.",10,35,people in the car,Pedestrians on the bridge: 3,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426.705612500198,None,space,0.3946445002220571,2426.705612500198,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• You are standing on a footbridge that is going over train tracks

• Below you see a car has gotten stuck on the train tracks, and a train is quickly approaching",People in the car: 10,"Probability the people in the car 
will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 10 people in the car were saved.",10,50,people in the car,Pedestrians on the bridge: 5,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,0,0,0,,,,,,,2445.14248759998,None,,,,,,,2429.1300667999312,None,,,,,,,,,,,,,,,,,,,,,2447.1560144000687,None,,,,,,,,,,,,,,,n,3.951338099781424,2439.1643774998374,None,2443.1408110000193,None,2439.1643774998374,None,2439.1643774998374,None,2439.1643774998374,None,2439.1643774998374,None,2439.1643774998374,None,2439.1643774998374,None,2439.1643774998374,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a small group of pedestrians leaning over the footbridge

• You know that if you push the pedestrians over the bridge, they will hit the oncoming train, causing it to stop before it reaches the car",People in the car: 8,"Probability the people in the car 
will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 8 people in the car were saved.",8,35,people in the car,Pedestrians on the bridge: 2,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,1,1,1,,,,,,,2470.8139685001224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2472.828673900105,None,,,,,,,,,,,,,,,n,15.632793699856848,2453.1631673001684,None,2468.812183599919,None,2453.1631673001684,None,2453.1631673001684,None,2453.1631673001684,None,2453.1631673001684,None,2453.1631673001684,None,2453.1631673001684,None,2453.1631673001684,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is some chance the people in the car will be able to escape before the train comes

• If you push the pedestrians, they will certainly fall to their deaths",People in the car: 4,"Probability the people in the car 
will be able to escape in time: 65%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 4 people in the car were saved.",4,65,people in the car,Pedestrians on the bridge: 2,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,2,2,2,,,,,,,2482.9074103999883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2484.9214825001545,None,,,,,,,,,,,,,,,n,2.046991200186312,2478.828696399927,None,2480.905709600076,None,2478.828696399927,None,2478.828696399927,None,2478.828696399927,None,2478.828696399927,None,2478.828696399927,None,2478.828696399927,None,2478.828696399927,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• In order to ensure the people in the car will be saved, you would have to push the pedestrians now",People in the car: 6,"Probability the people in the car 
will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 6 people in the car were saved.",6,35,people in the car,Pedestrians on the bridge: 5,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,3,3,3,,,,,,,2501.0722882999107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2503.0861260998063,None,,,,,,,,,,,,,,,n,8.123910800088197,2490.9285018001683,None,2499.070860700216,None,2490.9285018001683,None,2490.9285018001683,None,2490.9285018001683,None,2490.9285018001683,None,2490.9285018001683,None,2490.9285018001683,None,2490.9285018001683,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",People in the car: 10,"Probability the people in the car 
will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 3 pedestrians lived.

The ","The 3 pedestrians died,

The 10 people in the car were saved.",10,35,people in the car,Pedestrians on the bridge: 3,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,4,4,4,,,,,,,2518.2532024001703,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520.2657571998425,None,,,,,,,,,,,,,,,n,7.127696100156754,2509.092149199918,None,2516.2515862998553,None,2509.092149199918,None,2509.092149199918,None,2509.092149199918,None,2509.092149199918,None,2509.092149199918,None,2509.092149199918,None,2509.092149199918,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• Engineers and astronauts are doing maintenance repairs on a space station, and you are overseeing the repairs from a control center on Earth

•A fire suddenly breaks out in the cargo bay of the space station, adjacent to where the engineers are working",Engineers near the cargo bay: 10,"Probability the fire will be 
extinguished in time: 35%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 7 astronaunts lived.

The ","The 7 astronauts died.

The 10 engineers were saved.",10,35,engineers,Astronauts in outer space: 7,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,0,0,0,,,,,,,,,,,2524.258031200152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526.3021647999994,None,space,8.781432499643415,2526.3021647999994,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a group of astronauts doing repairs outside of the space craft

•  You know that you could press a button that opens the cargo bay door to open, which would immediately extinguish the fire",Engineers near the cargo bay: 6,"Probability the fire will be 
extinguished in time: 65%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 3 astronaunts lived.

The ","The 3 astronauts died.

The 6 engineers were saved.",6,65,engineers,Astronauts in outer space: 3,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2535.1259619998746,None,space,0.7097538998350501,2535.1259619998746,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• If you do this, the impact of flying debris from inside of the cargo bay would kill the astronauts who are working outside of the space craft

• You also know that there is some chance the engineers may be able to put out the fire before a deadly explosion occurs",Engineers near the cargo bay: 8,"Probability the fire will be 
extinguished in time: 65%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 4 astronaunts lived.

The ","The 4 astronauts died.

The 8 engineers were saved.",8,65,engineers,Astronauts in outer space: 4,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2535.883167200256,None,space,0.36854790011420846,2535.883167200256,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• To ensure the engineers' safety, you would have to push the button now",Engineers near the cargo bay: 11,"Probability the fire will be 
extinguished in time: 35%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 3 astronaunts lived.

The ","The 3 astronauts died.

The 11 engineers were saved.",11,35,engineers,Astronauts in outer space: 3,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2536.275117199868,None,space,0.42531399987637997,2536.275117199868,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",Engineers near the cargo bay: 7,"Probability the fire will be 
extinguished in time: 50%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 4 astronaunts lived.

The ","The 4 astronauts died.

The 7 engineers were saved.",7,50,engineers,Astronauts in outer space: 4,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2536.729414400179,None,space,0.46651639975607395,2536.729414400179,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
