Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• However, the electrician might be able to catch the wire before it falls","People in the swimming 
pool: 7","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 7 people in the swimming pool were saved.",7,65, people in the swimming pool,"Pedestrians on the 
sidewalk: 4",045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,3,3,3,,,,,,,1653.5268472000025,None,,,,,,,1655.5299050002359,None,,,,,,,,,,,,,,,,,1649.540584600065,None,,,,,,,,,,,,,,,n,22.373399999924004,1623.1164393001236,None,1645.5199967999943,None,1623.1164393001236,None,1623.1164393001236,None,1623.1164393001236,None,1623.1164393001236,None,1623.1164393001236,None,1623.1164393001236,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Plan: Throw the rock, redirecting the wire and killing the pedestrians

OR

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","People in the swimming 
pool: 6","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 6 people in the swimming pool were saved.",6,50, people in the swimming pool,"Pedestrians on the 
sidewalk: 3",045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,4,4,4,,,,,,,1675.0609119003639,None,,,,,,,1677.0638607,None,,,,,,,,,,,,,,,,,1671.073955300264,None,,,,,,,,,,,,,,,n,6.47528459969908,1660.5503522004,None,1667.0545903001912,None,1660.5503522004,None,1660.5503522004,None,1660.5503522004,None,1660.5503522004,None,1660.5503522004,None,1660.5503522004,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• You are working on a ship when you see a large group of sharks in the distance heading towards a team of scuba divers

• You know that when the sharks reach this group they will encircle them and kill them all ",Scuba divers in team: 10,"Probability EM pulse
will function: 35%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 2 close scuba divers were saved.
 
The  ","The 2 close scuba divers died.

The 10 far scuba divers were saved.",10,35, far scuba divers,Close scuba divers: 2,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,0,0,0,,,,,,,,,,,1680.0652316003107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682.0949386004359,None,space,3.2348282001912594,1682.0949386004359,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that there is another group of scuba divers who are closer to you and currently not in the path of the sharks 

• If you throw bait at this group of divers, the sharks will smell blood and switch trajectory away from the far team of divers, but killing the closer group of divers",Scuba divers in team: 5,"Probability EM pulse
will function: 65%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 2 close scuba divers were saved.
 
The  ","The 2 close scuba divers died.

The 5 far scuba divers were saved.",5,35, far scuba divers,Close scuba divers: 2,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685.3860486000776,None,space,0.8236679001711309,1685.3860486000776,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• If you throw bait at the close divers, all of the far divers will be spared",Scuba divers in team: 7,"Probability EM pulse
will function: 50%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 5 close scuba divers were saved.
 
The  ","The 5 close scuba divers died.

The 7 far scuba divers were saved.",7,65, far scuba divers,Close scuba divers: 5,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1686.242620400153,None,space,0.14338719984516501,1686.242620400153,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the far divers are carrying an electromagnetic (EM) pulse that will deter the sharks, but given the team's current depth there is only a small chance that the pulse will function 

• In order to ensure that the group will be spared, you must throw the bait now",Scuba divers in team: 8,"Probability EM pulse
will function: 50%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 6 close scuba divers were saved.
 
The  ","The 6 close scuba divers died.

The 8 far scuba divers were saved.",8,50, far scuba divers,Close scuba divers: 6,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1686.4333503004164,None,space,0.1123680998571217,1686.4333503004164,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",Scuba divers in team: 6,"Probability EM pulse
will function: 35%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 4 close scuba divers were saved.
 
The  ","The 4 close scuba divers died.

The 6 far scuba divers were saved.",6,65, far scuba divers,Close scuba divers: 4,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1686.5794324004091,None,space,0.11031069979071617,1686.5794324004091,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• You are working on a ship when you see a large group of sharks in the distance heading towards a team of scuba divers

• You know that when the sharks reach this group they will encircle them and kill them all ",Scuba divers in team: 10,"Probability EM pulse
will function: 35%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 2 close scuba divers were saved.
 
The  ","The 2 close scuba divers died.

The 10 far scuba divers were saved.",10,35, far scuba divers,Close scuba divers: 2,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,0,0,0,,,,,,,1728.405411100015,None,,,,,,,1730.4084078003652,None,,,,,,,,,,,,,,,,,1724.4184837001376,None,,,,,,,,,,,,,,,n,26.625975699629635,1693.74392300006,None,1720.3986223000102,None,1693.74392300006,None,1693.74392300006,None,1693.74392300006,None,1693.74392300006,None,1693.74392300006,None,1693.74392300006,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that there is another group of scuba divers who are closer to you and currently not in the path of the sharks 

• If you throw bait at this group of divers, the sharks will smell blood and switch trajectory away from the far team of divers, but killing the closer group of divers",Scuba divers in team: 5,"Probability EM pulse
will function: 65%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 2 close scuba divers were saved.
 
The  ","The 2 close scuba divers died.

The 5 far scuba divers were saved.",5,35, far scuba divers,Close scuba divers: 2,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,1,1,1,,,,,,,1771.2741430001333,None,,,,,,,1773.276542100124,None,,,,,,,,,,,,,,,,,1767.2867449000478,None,,,,,,,,,,,,,,,n,27.831146499607712,1735.418746100273,None,1763.2679604003206,None,1735.418746100273,None,1735.418746100273,None,1735.418746100273,None,1735.418746100273,None,1735.418746100273,None,1735.418746100273,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• If you throw bait at the close divers, all of the far divers will be spared",Scuba divers in team: 7,"Probability EM pulse
will function: 50%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 5 close scuba divers were saved.
 
The  ","The 5 close scuba divers died.

The 7 far scuba divers were saved.",7,65, far scuba divers,Close scuba divers: 5,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,2,2,2,,,,,,,1795.0438738004304,None,,,,,,,1797.047125400044,None,,,,,,,,,,,,,,,,,1791.0586537001655,None,,,,,,,,,,,,,,,n,8.716278200037777,1778.2936328002252,None,1787.037729700096,None,1778.2936328002252,None,1778.2936328002252,None,1778.2936328002252,None,1778.2936328002252,None,1778.2936328002252,None,1778.2936328002252,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the far divers are carrying an electromagnetic (EM) pulse that will deter the sharks, but given the team's current depth there is only a small chance that the pulse will function 

• In order to ensure that the group will be spared, you must throw the bait now",Scuba divers in team: 8,"Probability EM pulse
will function: 50%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 6 close scuba divers were saved.
 
The  ","The 6 close scuba divers died.

The 8 far scuba divers were saved.",8,50, far scuba divers,Close scuba divers: 6,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,3,3,3,,,,,,,1817.4793493002653,None,,,,,,,1819.4827791000716,None,,,,,,,,,,,,,,,,,1813.4962054002099,None,,,,,,,,,,,,,,,n,7.386504800058901,1802.0552083002403,None,1809.473059900105,None,1802.0552083002403,None,1802.0552083002403,None,1802.0552083002403,None,1802.0552083002403,None,1802.0552083002403,None,1802.0552083002403,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",Scuba divers in team: 6,"Probability EM pulse
will function: 35%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 4 close scuba divers were saved.
 
The  ","The 4 close scuba divers died.

The 6 far scuba divers were saved.",6,65, far scuba divers,Close scuba divers: 4,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,4,4,4,,,,,,,1875.9448409001343,None,,,,,,,1877.9487646003254,None,,,,,,,,,,,,,,,,,1871.9601342002861,None,,,,,,,,,,,,,,,n,43.423554100096226,1824.4979255003855,None,1867.9382067001425,None,1824.4979255003855,None,1824.4979255003855,None,1824.4979255003855,None,1824.4979255003855,None,1824.4979255003855,None,1824.4979255003855,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• You are standing on a footbridge that is going over train tracks

• Below you see a car has gotten stuck on the train tracks, and a train is quickly approaching",People in the car: 10,"Probability the people in the car 
will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 10 people in the car were saved.",10,50,people in the car,Pedestrians on the bridge: 5,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,0,0,0,,,,,,,,,,,1880.9487836002372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1882.9733657999896,None,space,2.4040263001807034,1882.9733657999896,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a small group of pedestrians leaning over the footbridge

• You know that if you push the pedestrians over the bridge, they will hit the oncoming train, causing it to stop before it reaches the car",People in the car: 8,"Probability the people in the car 
will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 8 people in the car were saved.",8,35,people in the car,Pedestrians on the bridge: 2,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885.42240100028,None,space,0.3869857001118362,1885.42240100028,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is some chance the people in the car will be able to escape before the train comes

• If you push the pedestrians, they will certainly fall to their deaths",People in the car: 4,"Probability the people in the car 
will be able to escape in time: 65%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 4 people in the car were saved.",4,65,people in the car,Pedestrians on the bridge: 2,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885.8491552001797,None,space,0.12040989985689521,1885.8491552001797,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• In order to ensure the people in the car will be saved, you would have to push the pedestrians now",People in the car: 6,"Probability the people in the car 
will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 6 people in the car were saved.",6,35,people in the car,Pedestrians on the bridge: 5,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885.9937485000119,None,space,0.13563959999009967,1885.9937485000119,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will

Implement the plan: Push the pedestrians over, causing them to hit the train and die

OR

Do nothing: The pedestrians will live, the people in the car have a chance of surviving",People in the car: 10,"Probability the people in the car 
will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 3 pedestrians lived.

The ","The 3 pedestrians died,

The 10 people in the car were saved.",10,35,people in the car,Pedestrians on the bridge: 3,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1886.1819783002138,None,space,0.9874379998072982,1886.1819783002138,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• You are standing on a footbridge that is going over train tracks

• Below you see a car has gotten stuck on the train tracks, and a train is quickly approaching",People in the car: 10,"Probability the people in the car 
will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 10 people in the car were saved.",10,50,people in the car,Pedestrians on the bridge: 5,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,0,0,0,,,,,,,1909.9063445003703,None,,,,,,,1911.9100152002648,None,,,,,,,,,,,,,,,,,1905.916193000041,None,,,,,,,,,,,,,,,n,7.665196700021625,1894.20832230011,None,1901.899371800013,None,1894.20832230011,None,1894.20832230011,None,1894.20832230011,None,1894.20832230011,None,1894.20832230011,None,1894.20832230011,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a small group of pedestrians leaning over the footbridge

• You know that if you push the pedestrians over the bridge, they will hit the oncoming train, causing it to stop before it reaches the car",People in the car: 8,"Probability the people in the car 
will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 8 people in the car were saved.",8,35,people in the car,Pedestrians on the bridge: 2,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,1,1,1,,,,,,,1934.3258539000526,None,,,,,,,1936.3291692002676,None,,,,,,,,,,,,,,,,,1930.3384366002865,None,,,,,,,,,,,,,,,y,9.362851800397038,1916.9265366001055,None,1926.3191100000404,None,1916.9265366001055,None,1916.9265366001055,None,1916.9265366001055,None,1916.9265366001055,None,1916.9265366001055,None,1916.9265366001055,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is some chance the people in the car will be able to escape before the train comes

• If you push the pedestrians, they will certainly fall to their deaths",People in the car: 4,"Probability the people in the car 
will be able to escape in time: 65%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 4 people in the car were saved.",4,65,people in the car,Pedestrians on the bridge: 2,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,2,2,2,,,,,,,1951.5235904003493,None,,,,,,,1953.527044000104,None,,,,,,,,,,,,,,,,,1947.5316549004056,None,,,,,,,,,,,,,,,n,2.1481252000667155,1941.341313500423,None,1943.517069300171,None,1941.341313500423,None,1941.341313500423,None,1941.341313500423,None,1941.341313500423,None,1941.341313500423,None,1941.341313500423,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• In order to ensure the people in the car will be saved, you would have to push the pedestrians now",People in the car: 6,"Probability the people in the car 
will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 6 people in the car were saved.",6,35,people in the car,Pedestrians on the bridge: 5,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,3,3,3,,,,,,,1978.8126827003434,None,,,,,,,1980.8170740003698,None,,,,,,,,,,,,,,,,,1974.8241563001648,None,,,,,,,,,,,,,,,y,12.240598700009286,1958.5447449004278,None,1970.806574600283,None,1958.5447449004278,None,1958.5447449004278,None,1958.5447449004278,None,1958.5447449004278,None,1958.5447449004278,None,1958.5447449004278,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will

Implement the plan: Push the pedestrians over, causing them to hit the train and die

OR

Do nothing: The pedestrians will live, the people in the car have a chance of surviving",People in the car: 10,"Probability the people in the car 
will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 3 pedestrians lived.

The ","The 3 pedestrians died,

The 10 people in the car were saved.",10,35,people in the car,Pedestrians on the bridge: 3,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,4,4,4,,,,,,,2015.3939350000583,None,,,,,,,2017.3972716000862,None,,,,,,,,,,,,,,,,,2011.4030295000412,None,,,,,,,,,,,,,,,y,21.527807400096208,1985.833495600149,None,2007.3871276001446,None,1985.833495600149,None,1985.833495600149,None,1985.833495600149,None,1985.833495600149,None,1985.833495600149,None,1985.833495600149,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• Engineers and astronauts are doing maintenance repairs on a space station, and you are overseeing the repairs from a control center on Earth

•A fire suddenly breaks out in the cargo bay of the space station, adjacent to where the engineers are working",Engineers near the cargo bay: 10,"Probability the fire will be 
extinguished in time: 35%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 7 astronaunts lived.

The ","The 7 astronauts died.

The 10 engineers were saved.",10,35,engineers,Astronauts in outer space: 7,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,0,0,0,,,,,,,,,,,2020.3979996000417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.4311033003032,None,space,32.450236700009555,2022.4311033003032,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a group of astronauts doing repairs outside of the space craft

•  You know that you could press a button that opens the cargo bay door to open, which would immediately extinguish the fire",Engineers near the cargo bay: 6,"Probability the fire will be 
extinguished in time: 65%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 3 astronaunts lived.

The ","The 3 astronauts died.

The 6 engineers were saved.",6,65,engineers,Astronauts in outer space: 3,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2054.9260652000085,None,space,0.4996914998628199,2054.9260652000085,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• If you do this, the impact of flying debris from inside of the cargo bay would kill the astronauts who are working outside of the space craft

• You also know that there is some chance the engineers may be able to put out the fire before a deadly explosion occurs",Engineers near the cargo bay: 8,"Probability the fire will be 
extinguished in time: 65%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 4 astronaunts lived.

The ","The 4 astronauts died.

The 8 engineers were saved.",8,65,engineers,Astronauts in outer space: 4,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055.4660293003544,None,space,0.5833382001146674,2055.4660293003544,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• To ensure the engineers' safety, you would have to push the button now",Engineers near the cargo bay: 11,"Probability the fire will be 
extinguished in time: 35%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 3 astronaunts lived.

The ","The 3 astronauts died.

The 11 engineers were saved.",11,35,engineers,Astronauts in outer space: 3,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2056.083347100299,None,space,1.021902599837631,2056.083347100299,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Push the button, putting out the fire but killing the astronauts

OR

Do nothing: The astronauts will live, the engineers have a chance of surviving",Engineers near the cargo bay: 7,"Probability the fire will be 
extinguished in time: 50%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 4 astronaunts lived.

The ","The 4 astronauts died.

The 7 engineers were saved.",7,50,engineers,Astronauts in outer space: 4,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057.156326800119,None,space,2.188974500168115,2057.156326800119,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
