Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• However, the electrician might be able to catch the wire before it falls","People in the swimming 
pool: 7","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 7 people in the swimming pool were saved.",7,65, people in the swimming pool,"Pedestrians on the 
sidewalk: 4",045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,3,3,3,,,,,,,1037.9933279000688,None,,,,,,,1015.1933552001137,None,,,,,,,,,,,,,,,,,1034.007468700176,None,,,,,,,,,,,,,,,n,9.745311200153083,1020.2109560000245,None,1029.9868606000673,None,1020.2109560000245,None,1020.2109560000245,None,1020.2109560000245,None,1020.2109560000245,None,1020.2109560000245,None,1020.2109560000245,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Plan: Throw the rock, redirecting the wire and killing the pedestrians

OR

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","People in the swimming 
pool: 6","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 6 people in the swimming pool were saved.",6,50, people in the swimming pool,"Pedestrians on the 
sidewalk: 3",045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,4,4,4,,,,,,,1053.9401293001138,None,,,,,,,1039.9968856000341,None,,,,,,,,,,,,,,,,,1049.9521569001954,None,,,,,,,,,,,,,,,n,0.8936461999546736,1045.0147694000043,None,1045.9332471999805,None,1045.0147694000043,None,1045.0147694000043,None,1045.0147694000043,None,1045.0147694000043,None,1045.0147694000043,None,1045.0147694000043,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• You are working on a ship when you see a large group of sharks in the distance heading towards a team of scuba divers

• You know that when the sharks reach this group they will encircle them and kill them all ",Scuba divers in team: 10,"Probability EM pulse
will function: 35%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 2 close scuba divers were saved.
 
The ","The 2 close scuba divers died.

The 10 far scuba divers were saved.",10,35, far scuba divers,Close scuba divers: 2,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,0,0,0,,,,,,,,,,,1055.941631600028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057.9719044000376,None,space,2.128539399942383,1057.9719044000376,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that there is another group of scuba divers who are closer to you and currently not in the path of the sharks 

• If you throw bait at this group of divers, the sharks will smell blood and switch trajectory away from the far team of divers, but killing the closer group of divers",Scuba divers in team: 5,"Probability EM pulse
will function: 65%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 2 close scuba divers were saved.
 
The ","The 2 close scuba divers died.

The 5 far scuba divers were saved.",5,35, far scuba divers,Close scuba divers: 2,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.1595197001006,None,space,0.21279719984158874,1060.1595197001006,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• If you throw bait at the close divers, all of the far divers will be spared",Scuba divers in team: 7,"Probability EM pulse
will function: 50%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 5 close scuba divers were saved.
 
The ","The 5 close scuba divers died.

The 7 far scuba divers were saved.",7,65, far scuba divers,Close scuba divers: 5,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.4031475000083,None,space,0.1772435000166297,1060.4031475000083,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the far divers are carrying an electromagnetic (EM) pulse that will deter the sharks, but given the team's current depth there is only a small chance that the pulse will function 

• In order to ensure that the group will be spared, you must throw the bait now",Scuba divers in team: 8,"Probability EM pulse
will function: 50%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 6 close scuba divers were saved.
 
The ","The 6 close scuba divers died.

The 8 far scuba divers were saved.",8,50, far scuba divers,Close scuba divers: 6,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.6258625001647,None,space,0.4185400002170354,1060.6258625001647,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",Scuba divers in team: 6,"Probability EM pulse
will function: 35%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 4 close scuba divers were saved.
 
The ","The 4 close scuba divers died.

The 6 far scuba divers were saved.",6,65, far scuba divers,Close scuba divers: 4,050:055,,,,,,,,,,,,,,,,,0,9,9,9,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061.0719120001886,None,space,0.40440230001695454,1061.0719120001886,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• You are working on a ship when you see a large group of sharks in the distance heading towards a team of scuba divers

• You know that when the sharks reach this group they will encircle them and kill them all ",Scuba divers in team: 10,"Probability EM pulse
will function: 35%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 2 close scuba divers were saved.
 
The ","The 2 close scuba divers died.

The 10 far scuba divers were saved.",10,35, far scuba divers,Close scuba divers: 2,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,0,0,0,,,,,,,1081.7632452000398,None,,,,,,,1063.5147683999967,None,,,,,,,,,,,,,,,,,1077.7827961000148,None,,,,,,,,,,,,,,,n,5.201298499945551,1068.530991600128,None,1073.7564466001932,None,1068.530991600128,None,1068.530991600128,None,1068.530991600128,None,1068.530991600128,None,1068.530991600128,None,1068.530991600128,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that there is another group of scuba divers who are closer to you and currently not in the path of the sharks 

• If you throw bait at this group of divers, the sharks will smell blood and switch trajectory away from the far team of divers, but killing the closer group of divers",Scuba divers in team: 5,"Probability EM pulse
will function: 65%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 2 close scuba divers were saved.
 
The ","The 2 close scuba divers died.

The 5 far scuba divers were saved.",5,35, far scuba divers,Close scuba divers: 2,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,1,1,1,,,,,,,1098.0431878000963,None,,,,,,,1083.7663257999811,None,,,,,,,,,,,,,,,,,1094.0575681000482,None,,,,,,,,,,,,,,,n,1.2439896001014858,1088.7766454000957,None,1090.0369449001737,None,1088.7766454000957,None,1088.7766454000957,None,1088.7766454000957,None,1088.7766454000957,None,1088.7766454000957,None,1088.7766454000957,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• If you throw bait at the close divers, all of the far divers will be spared",Scuba divers in team: 7,"Probability EM pulse
will function: 50%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 5 close scuba divers were saved.
 
The ","The 5 close scuba divers died.

The 7 far scuba divers were saved.",7,65, far scuba divers,Close scuba divers: 5,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,2,2,2,,,,,,,1114.607290000189,None,,,,,,,1100.0475374001544,None,,,,,,,,,,,,,,,,,1110.6189240000676,None,,,,,,,,,,,,,,,n,1.5180377000942826,1105.063304600073,None,1106.6006426000968,None,1105.063304600073,None,1105.063304600073,None,1105.063304600073,None,1105.063304600073,None,1105.063304600073,None,1105.063304600073,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the far divers are carrying an electromagnetic (EM) pulse that will deter the sharks, but given the team's current depth there is only a small chance that the pulse will function 

• In order to ensure that the group will be spared, you must throw the bait now",Scuba divers in team: 8,"Probability EM pulse
will function: 50%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 6 close scuba divers were saved.
 
The ","The 6 close scuba divers died.

The 8 far scuba divers were saved.",8,50, far scuba divers,Close scuba divers: 6,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,3,3,3,,,,,,,1133.0723094001878,None,,,,,,,1116.6104165001307,None,,,,,,,,,,,,,,,,,1129.0870956000872,None,,,,,,,,,,,,,,,n,3.4269510998856276,1121.617263500113,None,1125.065740100108,None,1121.617263500113,None,1121.617263500113,None,1121.617263500113,None,1121.617263500113,None,1121.617263500113,None,1121.617263500113,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",Scuba divers in team: 6,"Probability EM pulse
will function: 35%","Plan: Throw bait at the close divers, leaving them to get eaten by sharks

Do nothing: The close divers will live, the far divers have a chance of surviving","The 4 close scuba divers were saved.
 
The ","The 4 close scuba divers died.

The 6 far scuba divers were saved.",6,65, far scuba divers,Close scuba divers: 4,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,0,4,4,4,,,,,,,1151.4540156000294,None,,,,,,,1135.0761484999675,None,,,,,,,,,,,,,,,,,1147.4685269000474,None,,,,,,,,,,,,,,,n,3.3370982001069933,1140.092067199992,None,1143.447889200179,None,1140.092067199992,None,1140.092067199992,None,1140.092067199992,None,1140.092067199992,None,1140.092067199992,None,1140.092067199992,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,050:055,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• You are standing on a footbridge that is going over train tracks

• Below you see a car has gotten stuck on the train tracks, and a train is quickly approaching",People in the car: 10,"Probability the people in the car 
will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 10 people in the car were saved.",10,50, people in the car,Pedestrians on the bridge: 5,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,0,0,0,,,,,,,,,,,1153.455705899978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155.4828516000416,None,space,1.385689500020817,1155.4828516000416,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a small group of pedestrians leaning over the footbridge

• You know that if you push the pedestrians over the bridge, they will hit the oncoming train, causing it to stop before it reaches the car",People in the car: 8,"Probability the people in the car 
will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 8 people in the car were saved.",8,35, people in the car,Pedestrians on the bridge: 2,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156.9098406000994,None,space,0.5185882998630404,1156.9098406000994,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is some chance the people in the car will be able to escape before the train comes

• If you push the pedestrians, they will certainly fall to their deaths",People in the car: 4,"Probability the people in the car 
will be able to escape in time: 65%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 4 people in the car were saved.",4,65, people in the car,Pedestrians on the bridge: 2,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157.5143377999775,None,space,0.34597270004451275,1157.5143377999775,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• In order to ensure the people in the car will be saved, you would have to push the pedestrians now",People in the car: 6,"Probability the people in the car 
will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 6 people in the car were saved.",6,35, people in the car,Pedestrians on the bridge: 5,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157.884214100195,None,space,0.40801370004191995,1157.884214100195,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will

Implement the plan: Push the pedestrians over, causing them to hit the train and die

OR

Do nothing: The pedestrians will live, the people in the car have a chance of surviving",People in the car: 10,"Probability the people in the car 
will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 3 pedestrians lived.

The ","The 3 pedestrians died,

The 10 people in the car were saved.",10,35, people in the car,Pedestrians on the bridge: 3,055:060,,,,,,,,,,,,,,,,,0,10,10,10,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1158.341476000147,None,space,0.36728459992446005,1158.341476000147,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• You are standing on a footbridge that is going over train tracks

• Below you see a car has gotten stuck on the train tracks, and a train is quickly approaching",People in the car: 10,"Probability the people in the car 
will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 10 people in the car were saved.",10,50, people in the car,Pedestrians on the bridge: 5,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,0,0,0,,,,,,,1178.4935682001524,None,,,,,,,1160.7422979001421,None,,,,,,,,,,,,,,,,,1174.5041373001877,None,,,,,,,,,,,,,,,n,4.721051100175828,1165.7476304001175,None,1170.4871664000675,None,1165.7476304001175,None,1165.7476304001175,None,1165.7476304001175,None,1165.7476304001175,None,1165.7476304001175,None,1165.7476304001175,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a small group of pedestrians leaning over the footbridge

• You know that if you push the pedestrians over the bridge, they will hit the oncoming train, causing it to stop before it reaches the car",People in the car: 8,"Probability the people in the car 
will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 8 people in the car were saved.",8,35, people in the car,Pedestrians on the bridge: 2,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,1,1,1,,,,,,,1197.2922345001716,None,,,,,,,1180.4979598000646,None,,,,,,,,,,,,,,,,,1193.3008663000073,None,,,,,,,,,,,,,,,n,3.7538880999200046,1185.5145414001308,None,1189.285729700001,None,1185.5145414001308,None,1185.5145414001308,None,1185.5145414001308,None,1185.5145414001308,None,1185.5145414001308,None,1185.5145414001308,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is some chance the people in the car will be able to escape before the train comes

• If you push the pedestrians, they will certainly fall to their deaths",People in the car: 4,"Probability the people in the car 
will be able to escape in time: 65%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 4 people in the car were saved.",4,65, people in the car,Pedestrians on the bridge: 2,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,2,2,2,,,,,,,1214.072842600057,None,,,,,,,1199.296613600105,None,,,,,,,,,,,,,,,,,1210.083916499978,None,,,,,,,,,,,,,,,n,1.7270221998915076,1204.3091445001774,None,1206.0663489999715,None,1204.3091445001774,None,1204.3091445001774,None,1204.3091445001774,None,1204.3091445001774,None,1204.3091445001774,None,1204.3091445001774,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• In order to ensure the people in the car will be saved, you would have to push the pedestrians now",People in the car: 6,"Probability the people in the car 
will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 6 people in the car were saved.",6,35, people in the car,Pedestrians on the bridge: 5,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,3,3,3,,,,,,,1272.8888580000494,None,,,,,,,1216.0766875001136,None,,,,,,,,,,,,,,,,,1268.8980126001406,None,,,,,,,,,,,,,,,n,43.75956320017576,1221.0926358001307,None,1264.8818779999856,None,1221.0926358001307,None,1221.0926358001307,None,1221.0926358001307,None,1221.0926358001307,None,1221.0926358001307,None,1221.0926358001307,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will

Implement the plan: Push the pedestrians over, causing them to hit the train and die

OR

Do nothing: The pedestrians will live, the people in the car have a chance of surviving",People in the car: 10,"Probability the people in the car 
will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 3 pedestrians lived.

The ","The 3 pedestrians died,

The 10 people in the car were saved.",10,35, people in the car,Pedestrians on the bridge: 3,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,0,4,4,4,,,,,,,1294.0897548999637,None,,,,,,,1274.8927140000742,None,,,,,,,,,,,,,,,,,1290.0965315999929,None,,,,,,,,,,,,,,,n,6.1424442999996245,1279.9096940001473,None,1286.082652100129,None,1279.9096940001473,None,1279.9096940001473,None,1279.9096940001473,None,1279.9096940001473,None,1279.9096940001473,None,1279.9096940001473,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,055:060,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• Engineers and astronauts are doing maintenance repairs on a space station, and you are overseeing the repairs from a control center on Earth

•A fire suddenly breaks out in the cargo bay of the space station, adjacent to where the engineers are working",Engineers near the cargo bay: 10,"Probability the fire will be 
extinguished in time: 35%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 7 astronauts lived.

The ","The 7 astronauts died.

The 10 engineers were saved.",10,35, engineers,Astronauts in outer space: 7,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,0,0,0,,,,,,,,,,,1296.0910418001004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298.1267888001166,None,space,4.08557579992339,1298.1267888001166,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a group of astronauts doing repairs outside of the space craft

•  You know that you could press a button that opens the cargo bay door to open, which would immediately extinguish the fire",Engineers near the cargo bay: 6,"Probability the fire will be 
extinguished in time: 65%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 3 astronauts lived.

The ","The 3 astronauts died.

The 6 engineers were saved.",6,65, engineers,Astronauts in outer space: 3,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302.2461944001261,None,space,0.5899797999300063,1302.2461944001261,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• If you do this, the impact of flying debris from inside of the cargo bay would kill the astronauts who are working outside of the space craft

• You also know that there is some chance the engineers may be able to put out the fire before a deadly explosion occurs",Engineers near the cargo bay: 8,"Probability the fire will be 
extinguished in time: 65%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 4 astronauts lived.

The ","The 4 astronauts died.

The 8 engineers were saved.",8,65, engineers,Astronauts in outer space: 4,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302.8850138001144,None,space,0.43108559981919825,1302.8850138001144,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• To ensure the engineers' safety, you would have to push the button now",Engineers near the cargo bay: 11,"Probability the fire will be 
extinguished in time: 35%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 3 astronauts lived.

The ","The 3 astronauts died.

The 11 engineers were saved.",11,35, engineers,Astronauts in outer space: 3,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303.3521412000991,None,space,0.284181899856776,1303.3521412000991,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Push the button, putting out the fire but killing the astronauts

OR

Do nothing: The astronauts will live, the engineers have a chance of surviving",Engineers near the cargo bay: 7,"Probability the fire will be 
extinguished in time: 50%","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 4 astronauts lived.

The ","The 4 astronauts died.

The 7 engineers were saved.",7,50, engineers,Astronauts in outer space: 4,060:065,,,,,,,,,,,,,,,,,0,11,11,11,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303.6935318000615,None,space,0.39073630003258586,1303.6935318000615,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
